state,participation_sat_19,participation_sat_18,participation_sat_17,ebrw_sat_19,ebrw_sat_18,ebrw_sat_17,math_sat_19,math_sat_18,math_sat_17,total_sat_19,total_sat_18,total_sat_17,participation_sat_mean,ebrw_sat_mean,math_sat_mean,total_sat_mean
Alabama,7.0,6.0,5.0,583,595,593,560,571,572,1143,1166,1165,6.0,590.33,567.67,1158.0
Alaska,41.0,43.0,38.0,556,562,547,541,544,533,1097,1106,1080,40.67,555.0,539.33,1094.33
Arizona,31.0,29.0,30.0,569,577,563,565,572,553,1134,1149,1116,30.0,569.67,563.33,1133.0
Arkansas,6.0,5.0,3.0,582,592,614,559,576,594,1141,1169,1208,4.67,596.0,576.33,1172.67
California,63.0,60.0,53.0,534,540,531,531,536,524,1065,1076,1055,58.67,535.0,530.33,1065.33
Colorado,100.0,100.0,11.0,518,519,606,506,506,595,1024,1025,1201,70.33,547.67,535.67,1083.33
Connecticut,100.0,100.0,100.0,529,535,530,516,519,512,1046,1053,1041,100.0,531.33,515.67,1046.67
Delaware,100.0,100.0,100.0,499,505,503,486,492,492,985,998,996,100.0,502.33,490.0,993.0
District of Columbia,94.0,92.0,100.0,495,497,482,480,480,468,975,977,950,95.33,491.33,476.0,967.33
Florida,100.0,56.0,83.0,516,550,520,483,549,497,999,1099,1017,79.67,528.67,509.67,1038.33
Georgia,71.0,70.0,61.0,538,542,535,519,522,515,1058,1064,1050,67.33,538.33,518.67,1057.33
Hawaii,54.0,56.0,55.0,550,480,544,550,530,541,1100,1010,1085,55.0,524.67,540.33,1065.0
Idaho,100.0,100.0,93.0,505,508,513,488,493,493,993,1001,1005,97.67,508.67,491.33,999.67
Illinois,100.0,99.0,9.0,509,513,559,504,506,556,1013,1019,1115,69.33,527.0,522.0,1049.0
Indiana,66.0,63.0,63.0,543,542,542,537,532,532,1080,1074,1074,64.0,542.33,533.67,1076.0
Iowa,3.0,3.0,2.0,622,634,641,622,631,635,1244,1265,1275,2.67,632.33,629.33,1261.33
Kansas,4.0,4.0,4.0,618,633,632,623,631,628,1241,1265,1260,4.0,627.67,627.33,1255.33
Kentucky,4.0,4.0,4.0,620,630,631,612,618,616,1232,1248,1247,4.0,627.0,615.33,1242.33
Louisiana,5.0,4.0,4.0,610,615,611,591,595,586,1200,1210,1198,4.33,612.0,590.67,1202.67
Maine,99.0,99.0,95.0,512,512,513,502,501,499,1013,1013,1012,97.67,512.33,500.67,1012.67
Maryland,82.0,76.0,69.0,535,545,536,523,535,524,1058,1080,1060,75.67,538.67,527.33,1066.0
Massachusetts,81.0,80.0,76.0,559,562,555,561,563,551,1120,1125,1107,79.0,558.67,558.33,1117.33
Michigan,100.0,100.0,100.0,507,511,509,496,499,495,1003,1011,1005,100.0,509.0,496.67,1006.33
Minnesota,4.0,4.0,3.0,636,643,644,648,655,651,1284,1298,1295,3.67,641.0,651.33,1292.33
Mississippi,3.0,3.0,2.0,628,630,634,608,606,607,1237,1236,1242,2.67,630.67,607.0,1238.33
Missouri,4.0,4.0,3.0,622,633,640,615,629,631,1236,1262,1271,3.67,631.67,625.0,1256.33
Montana,9.0,10.0,10.0,603,606,605,596,592,591,1199,1198,1196,9.67,604.67,593.0,1197.67
Nebraska,3.0,3.0,3.0,628,629,629,631,623,625,1260,1252,1253,3.0,628.67,626.33,1255.0
Nevada,20.0,23.0,26.0,580,574,563,576,566,553,1156,1140,1116,23.0,572.33,565.0,1137.33
New Hampshire,95.0,96.0,96.0,533,535,532,526,528,520,1059,1063,1052,95.67,533.33,524.67,1058.0
New Jersey,82.0,82.0,70.0,544,547,530,545,547,526,1090,1094,1056,78.0,540.33,539.33,1080.0
New Mexico,18.0,16.0,11.0,543,552,577,530,540,561,1073,1093,1138,15.0,557.33,543.67,1101.33
New York,79.0,79.0,67.0,531,534,528,533,534,523,1064,1068,1052,75.0,531.0,530.0,1061.33
North Carolina,51.0,52.0,49.0,554,554,546,546,543,535,1100,1098,1081,50.67,551.33,541.33,1093.0
North Dakota,2.0,2.0,2.0,627,640,635,636,643,621,1263,1283,1256,2.0,634.0,633.33,1267.33
Ohio,19.0,18.0,12.0,550,552,578,548,547,570,1097,1099,1149,16.33,560.0,555.0,1115.0
Oklahoma,22.0,8.0,7.0,490,541,530,472,521,517,963,1062,1047,12.33,520.33,503.33,1024.0
Oregon,51.0,48.0,43.0,562,564,560,550,553,548,1112,1117,1108,47.33,562.0,550.33,1112.33
Pennsylvania,70.0,70.0,65.0,545,547,540,537,539,531,1082,1086,1071,68.33,544.0,535.67,1079.67
Rhode Island,100.0,97.0,71.0,503,513,539,492,505,524,995,1018,1062,89.33,518.33,507.0,1025.0
South Carolina,68.0,55.0,50.0,526,547,543,504,523,521,1030,1070,1064,57.67,538.67,516.0,1054.67
South Dakota,3.0,3.0,3.0,633,622,612,635,618,603,1268,1240,1216,3.0,622.33,618.67,1241.33
Tennessee,7.0,6.0,5.0,618,624,623,602,607,604,1220,1231,1228,6.0,621.67,604.33,1226.33
Texas,68.0,66.0,62.0,515,520,513,507,512,507,1022,1032,1020,65.33,516.0,508.67,1024.67
Utah,4.0,4.0,3.0,614,480,624,615,530,614,1230,1010,1238,3.67,572.67,586.33,1159.33
Vermont,66.0,64.0,60.0,560,565,562,546,554,551,1106,1120,1114,63.33,562.33,550.33,1113.33
Virginia,68.0,68.0,65.0,567,567,561,551,550,541,1119,1117,1102,67.0,565.0,547.33,1112.67
Washington,70.0,69.0,64.0,539,543,541,535,538,534,1074,1081,1075,67.67,541.0,535.67,1076.67
West Virginia,99.0,28.0,14.0,483,513,558,460,486,528,943,999,1086,47.0,518.0,491.33,1009.33
Wisconsin,3.0,3.0,3.0,635,641,642,648,653,649,1283,1294,1291,3.0,639.33,650.0,1289.33
Wyoming,3.0,3.0,3.0,623,633,626,615,625,604,1238,1257,1230,3.0,627.33,614.67,1241.67
