state,income_mean,pop_mean,participation_act_mean,composite_act_mean,english_act_mean,math_act_mean,reading_act_mean,science_act_mean,participation_sat_mean,ebrw_sat_mean,math_sat_mean,total_sat_mean
Alabama,52416.33,4888450.67,100.0,19.07,18.83,18.27,19.43,19.07,6.0,590.33,567.67,1158.0
Alaska,73119.67,735461.33,45.33,20.23,19.13,20.1,20.77,20.27,40.67,555.0,539.33,1094.33
Arizona,64694.0,7160249.67,67.0,19.3,18.23,19.47,19.5,19.33,30.0,569.67,563.33,1133.0
Arkansas,51049.67,3009627.33,100.0,19.37,19.0,18.87,19.57,19.37,4.67,596.0,576.33,1172.67
California,72784.33,39444102.67,27.0,22.7,22.47,22.5,22.93,22.17,58.67,535.0,530.33,1065.33
Colorado,73235.0,5687302.67,52.33,22.83,22.6,22.27,23.17,22.6,70.33,547.67,535.67,1083.33
Connecticut,77627.67,3570034.67,26.33,25.43,25.8,24.7,25.8,24.77,100.0,531.33,515.67,1046.67
Delaware,67174.67,965355.33,16.0,23.97,23.9,23.2,24.43,23.5,100.0,502.33,490.0,993.0
Florida,55564.33,21228555.67,64.33,19.93,19.23,19.4,20.7,19.53,79.67,528.67,509.67,1038.33
Georgia,56488.33,10512961.33,52.33,21.4,20.93,20.77,21.9,21.23,67.33,538.33,518.67,1057.33
Hawaii,80563.0,1420286.0,86.33,18.97,17.97,19.13,19.1,19.17,55.0,524.67,540.33,1065.0
Idaho,61641.33,1751772.0,35.0,22.37,21.9,21.77,22.97,22.13,97.67,508.67,491.33,999.67
Illinois,69717.67,12724573.33,57.0,23.2,23.2,22.8,23.43,22.8,69.33,527.0,522.0,1049.0
Indiana,61819.33,6695264.67,32.0,22.53,21.87,22.33,22.93,22.23,64.0,542.33,533.67,1076.0
Iowa,66084.33,3148412.67,67.0,21.77,21.0,21.17,22.23,21.97,2.67,632.33,629.33,1261.33
Kansas,64987.0,2911130.33,72.0,21.5,20.87,21.03,21.93,21.43,4.0,627.67,627.33,1255.33
Kentucky,53855.0,4460364.67,100.0,20.0,19.67,19.43,20.43,19.93,4.0,627.0,615.33,1242.33
Louisiana,48527.67,4659681.33,100.0,19.17,19.03,18.5,19.43,19.17,4.33,612.0,590.67,1202.67
Maine,58957.67,1339293.67,7.0,24.2,24.07,23.8,24.7,23.6,97.67,512.33,500.67,1012.67
Maryland,87626.33,6035116.67,29.0,22.8,22.47,22.27,23.27,22.7,75.67,538.67,527.33,1066.0
Massachusetts,82426.33,6878309.0,25.0,25.47,25.47,25.23,25.8,24.73,79.0,558.67,558.33,1117.33
Michigan,60756.0,9981347.67,23.33,24.3,24.37,23.87,24.53,23.9,100.0,509.0,496.67,1006.33
Minnesota,75054.33,5604037.0,98.0,21.4,20.3,21.43,21.63,21.53,3.67,641.0,651.33,1292.33
Mississippi,43669.67,2981893.0,100.0,18.53,18.17,18.03,18.8,18.6,2.67,630.67,607.0,1238.33
Missouri,59736.0,6121907.0,94.0,20.4,19.87,19.93,20.73,20.43,3.67,631.67,625.0,1256.33
Montana,58987.0,1060641.67,100.0,20.03,18.8,19.93,20.53,20.13,9.67,604.67,593.0,1197.67
Nebraska,66755.0,1925323.0,94.67,20.5,19.9,20.13,20.7,20.6,3.0,628.67,626.33,1255.0
Nevada,63106.67,3025800.67,100.0,17.8,16.57,17.93,18.0,18.0,23.0,572.33,565.0,1137.33
New Hampshire,81015.67,1353987.67,16.0,25.2,25.13,24.83,25.57,24.6,95.67,533.33,524.67,1058.0
New Jersey,78299.67,8884580.0,30.0,23.93,23.97,23.8,24.17,23.27,78.0,540.33,539.33,1080.0
New Mexico,49750.33,2093784.67,65.33,19.47,18.33,19.13,19.93,19.77,15.0,557.33,543.67,1101.33
New York,67192.0,19524494.67,26.67,24.4,24.03,24.1,24.7,24.17,75.0,531.0,530.0,1061.33
North Carolina,54957.0,10379310.67,100.0,19.07,17.87,19.27,19.33,19.17,50.67,551.33,541.33,1093.0
North Dakota,65474.0,758361.33,97.33,20.17,18.9,20.2,20.43,20.43,2.0,634.0,633.33,1267.33
Ohio,62021.33,11675030.33,91.67,20.77,19.83,20.6,21.1,20.83,16.33,560.0,555.0,1115.0
Oklahoma,56279.0,3942840.67,100.0,19.2,18.37,18.63,19.7,19.33,12.33,520.33,503.33,1024.0
Oregon,69396.0,4181082.67,41.33,21.4,20.7,21.07,21.8,21.3,47.33,562.0,550.33,1112.33
Pennsylvania,66093.0,12796850.67,20.0,23.6,23.33,23.23,23.93,23.2,68.33,544.0,535.67,1079.67
Rhode Island,66269.0,1057773.67,16.0,24.3,24.47,23.6,24.83,23.63,89.33,518.33,507.0,1025.0
South Carolina,58147.67,5084712.67,92.67,18.6,17.6,18.5,18.9,18.77,57.67,538.67,516.0,1054.67
South Dakota,60204.0,878741.67,77.33,21.77,20.73,21.47,22.13,22.03,3.0,622.33,618.67,1241.33
Tennessee,55975.67,6769868.0,100.0,19.6,19.33,19.07,19.8,19.57,6.0,621.67,604.33,1226.33
Texas,62174.67,28639940.0,41.67,20.6,19.53,20.57,20.97,20.77,65.33,516.0,508.67,1024.67
Utah,77636.33,3153516.67,100.0,20.33,19.57,19.93,20.67,20.47,3.67,572.67,586.33,1159.33
Vermont,69392.0,624230.33,24.33,23.93,23.7,23.27,24.5,23.63,63.33,562.33,550.33,1113.33
Virginia,76585.67,8500130.67,24.67,23.9,23.7,23.3,24.43,23.53,67.0,565.0,547.33,1112.67
Washington,79199.33,7520708.0,25.67,22.07,21.2,22.07,22.43,21.97,67.67,541.0,535.67,1076.67
West Virginia,49890.33,1804480.67,61.0,20.5,20.13,19.5,21.13,20.53,47.0,518.0,491.33,1009.33
Wisconsin,64478.33,5806675.33,100.0,20.43,19.63,20.3,20.5,20.77,3.0,639.33,650.0,1289.33
Wyoming,61836.67,578430.33,100.0,20.0,19.07,19.63,20.4,20.3,3.0,627.33,614.67,1241.67
